unmittelbare Anstellung,Q506999,,Q-1770 Person,1776,1777,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname,
Amt Schwarzwald,,,,,Johann Christian Grafe,neu,Amts-Diener,,,,,,,,,,,Johann,Christian,,,,Grafe,
Amt Schwarzwald,,,Q159405,,Christian Rudolph Pfaff ,neu,Amts-Physicus,,,,,,,,,,,Christian,Rudolph,,,, Pfaff ,
Amt Schwarzwald,,,,,Johann Christian Riese zu Mehlis,neu,Amts-Chirurgus,,,,,,,,,,,Johann,Christian,,,,Riese zu Mehlis,
Amts Voigten,,,Q154924,,Christian Eberhard Hocker,neu,Amts-Voigt,,,,,,,,,,,Christian,Eberhard,,,,Hocker,
Amtssteuer und Tranksteuer-Einnahme,,,Q161314,,Johann Gebhard Manso,neu,Amtmann,,,Amts-Einnehmer,Tranksteuer-Einnehmer,,,,,,,Johann,Gebhard,,,,Manso,
Schneide-Mühlen-Administtration,,,,,Johann Georg Zapf,neu,Pachter des Herschaftlichen Geleits zu Oberhof,,,,,,,,,,,Johann,Georg,,,,Zapf,
Schneide-Mühlen-Administtration,,,,,Johann David Albrecht,neu,Schneide-Mühlen Factor zu Schwarzwald,,,,,,,,,,,Johann,David,,,,Albrecht,
Schneide-Mühlen-Administtration,,,,,Friedrich Christoph Albrecht,neu,Substitut,,,,,,,,,,,Friedrich,Christoph,,,,Albrecht,
Schneide-Mühlen-Administtration,,,,,Johann Friedrich Ludwig Waitz,neu,Oberförster,,,Controleur bei der Schneide-Mühle zu Schwarzwald,,,,,,,,Johann,Friedrich,Ludwig,,,Waitz,
Schneide-Mühlen-Administtration,,,,,Johann Heinrich Gundermann,neu,Forstbedienter,,,Rechnungsführer der beiden Schneide-Mühlen oberhalb Dörberg und Arlesberg,,,,,,,,Johann,Heinrich,,,,Gundermann,
Amt Tenneberg und Reinhardsbunn,,,,,Hanß Adam von Studenitz,neu,Oberhof-Marschall,,,Wirklicher geheimer Rath,Amtshauptmann,,,,,seine Excellenz,,Hanß,Adam,,,,von Studenitz,
Amt Tenneberg und Reinhardsbunn,,,Q98569,,Wilhelm Gottlieb Jacobs,neu,Rath ,,,Amtmann,,,,,,Dr.,,Wilhelm,Gottlieb,,,,Jacobs,
Amt Tenneberg und Reinhardsbunn,,,Q495344,,Friedrich Wilhelm Hartmann,neu,Amts-Registrator,,,,,,,,,,,Friedrich,Wilhelm,,,,Hartmann,
Amt Tenneberg und Reinhardsbunn,,,Q193008,,Johann Martin Erdmann,neu,Pflegeschreiber zu Tenneberg,,,,,,,,,,,Johann,Martin,,,,Erdmann,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Friedrich Deubner,neu,Pflegeschreiber zu Reinhardsbrunn,,,,,,,,,,,Johann,Friedrich,,,,Deubner,
Amt Tenneberg und Reinhardsbunn,,,,,Johann David Freytag,neu,Amts-Bothe,,,,,,,,,,,Johann,David,,,,Freytag,
Amt Tenneberg und Reinhardsbunn,,,Q262740,,Johann Christoph Seeber,neu,Amts-Bothe,,,,,,,,,,,Johann,Christoph,,,,Seeber,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Elias Andreas Wohllebeb,neu,Amts-Diener,,,,,,,,,,,Johann,Elias,Andreas,,,Wohllebeb,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Friedrich Schlothauer,neu,Amts-Diener,,,,,,,,,,,Johann,Friedrich,,,,Schlothauer,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Sebastian Brückner,neu,zu Waltershausen,,,Amts-Physicus,,,,,,,,Johann,Sebastian,,,,Brückner,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Heinrich Hofmann,neu,zu Friedrichroda,,,Amts-Physicus,,,,,,,,Johann,Heinrich,,,,Hofmann,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Ehrenfried Geißler,neu,zu Waltershausen,,,Amts-Chirurg,,,,,,,,Johann,Ehrenfried,,,,Geißler,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Georg Curts,neu,Amts-Chirurg,,,,,,,,,,,Johann,Georg,,,,Curts,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Friedrich Gotter,neu,Manufactur-Commissarius,,,in der Ruhla,,,,,,,,Johann,Friedrich,,,,Gotter,
Amts Voigten zu Tenneberg,,,Q260875,,Johann Andreas Ritter,neu,Amts Voigt,,,,,,,,,,,Johann,Andreas,,,,Ritter,
Amts Voigten zu Tenneberg,,,,,Johann Herrmann Schoner,neu,Amts Fischer,,,,,,,,,,,Johann,Herrmann,,,,Schoner,
Amts Voigten zu Tenneberg,,,Q507064,,Johann Ludwig Jacob Witzmann,neu,Registrator,,,Amts Voigt,,,,,,,,Johann,Ludwig,Jacob,,,Witzmann,
Amts Voigten zu Tenneberg,,,,,Johann Valentin Herbst,neu,Amts Fischer,,,,,,,,,,,Johann,Valentin,,,,Herbst,
Amts Voigten zu Tenneberg,,,,,David Seyfarth,neu,zur Beihilfe,,,,,,,,,,,David,,,,,Seyfarth,
Amts Voigten zu Tenneberg,,,,,Hanß Eccarius,neu,Wiesen-Voigt,,,,,,,,,,,Hanß,,,,,Eccarius,
Amts- und Tranksteuer Einnahme zu Tenneberg und Reinhardsbrunn,,,Q98569,,Wilhelm Gottlieb Jacobs,neu,Rath,,,Amtmann,Amtssteuer Einnehmer,Tranksteuer Einnehmer,,,,Dr.,,Wilhelm,Gottlieb,,,,Jacobs,
Reinhardsbrunner Schneide-Mühlen Adminstestrator,,,,,Johann  David Albrecht,neu,Factor  bei der Schneidemühle im Finsterberger Grund,,,,,,,,,,,Johann,David,,,,Albrecht,
Reinhardsbrunner Schneide-Mühlen Adminstestrator,,,,,Friedrich Christoph Albrecht,neu,Substitut,,,,,,,,,,,Friedrich,Christoph,,,,Albrecht,
Reinhardsbrunner Schneide-Mühlen Adminstestrator,,,Q507562,,Friedrich Christian Trautmann,neu,Forstbedienter,,,Controleur,,,,,,,,Friedrich,Christian,,,,Trautmann,
Reinhardsbrunner Collectur- Hof zu Langensalza,,,,,Rudolph August Christian Heydenreich,neu,Collect-Verwalter,,,,,,,,,,,Rudolph,August,Christian,,,Heydenreich,
Bürgermeister und Rath der Stadt Waltershausen,,,Q507040,,Friedrich Christoph Gotthard John,neu,ordin. Hof Advocat,,,,,,,,,,,Friedrich,Christoph,Gotthard,,,John,
Bürgermeister und Rath der Stadt Waltershausen,,,Q513321,,Wilhelm Franz Heß,neu,ordin. Hof Advocat,,,,,,,,,,,Wilhelm,Franz,,,,Heß,
Bürgermeister und Rath der Stadt Waltershausen,,,,,Johann Daniel Ziegler,neu,,,,,,,,,,,,Johann,Daniel,,,,Ziegler,
Bürgermeister und Rath der Stadt Waltershausen,,,,,Johann David Hellmund,neu,,,,,,,,,,,,Johann,David,,,,Hellmund,
Raths-Herren,,,,,Johann Gottfried Kästner,neu,,,,,,,,,,,,Johann,Gottfried,,,,Kästner,
Raths-Herren,,,,,Bernhard Gebhard,neu,,,,,,,,,,,,Bernhard,,,,,Gebhard,
Raths-Herren,,,Q192200,,Johann Christoph Backhaus,neu,,,,,,,,,,,,Johann,Christoph,,,,Backhaus,
Raths-Herren,,,,,Heinrich Christoph Breithaupt,neu,,,,,,,,,,,,Heinrich,Christoph,,,,Breithaupt,
Raths-Herren,,,,,Johann Heinrich Salender,neu,,,,,,,,,,,,Johann,Heinrich,,,,Salender,
Raths-Herren,,,,,Johann Sebastian Rußwurm,neu,,,,,,,,,,,,Johann,Sebastian,,,,Rußwurm,
Stadtschreiberey,,,,,Se. Heinrich Junker,neu,Amtsadvocat,,,Stadtschreiber,,,,,,,,Se. ,Heinrich,,,,Junker,
Stadtschreiberey,,,,,Se. Heinrich Illhardt,neu,Raths-Actuarius,,,Kassierer,,,,,,,,Se. ,Heinrich,,,,Illhardt,
Rats Cämmererey,,,,,Bernhard Gebhard,neu,Cämmerer,,,,,,,,,,,Bernhard,,,,,Gebhard,
Rats Cämmererey,,,,,Heinrich Gottfried Kästner,neu,Cämmerer,,,,,,,,,,,Heinrich,Gottfried,,,,Kästner,
Gemeinde Vormünder,,,,,Johann David Gebhard,neu,,,,,,,,,,,,Johann,David,,,,Gebhard,
Gemeinde Vormünder,,,,,Christoph Gotthard Graf,neu,,,,,,,,,,,,Christoph,Gotthard,,,,Graf,
Gemeinde Vormünder,,,,,Georg Wilhelm Schmidt,neu,Rathsdiener,,,,,,,,,,,Georg,Wilhelm,,,,Schmidt,
Gemeinde Vormünder,,,,,Johann David Schmidt,neu,Rathsdiener,,,,,,,,,,,Johann ,David,,,, Schmidt,
Gemeinschaftliches Amt Themar,,,,,Johann Adolph Schultheß,neu,Amtmann,,,,,,,,,,,Johann,Adolph,,,,Schultheß,
Gemeinschaftliches Amt Themar,,,,,Heinrich Ernst Freygang,neu,Amts-Actuarius,,,,,,,,,,,Heinrich,Ernst,,,,Freygang,
Gemeinschaftliches Amt Themar,,,,,Friedrich Wilhelm Fritz,neu,Amts-Copist,,,Pflegschreiber,,,,,,,,Friedrich,Wilhelm,,,,Fritz,
Gemeinschaftliches Amt Themar,,,,,Johann Martin Dietz,neu,Amtsbothe,,,,,,,,,,,Johann,Martin,,,,Dietz,
Gemeinschaftliches Amt Themar,,,,,Johann Gottlieb Lingel,neu,Amtsdiener,,,,,,,,,,,Johann,Gottlieb,,,,Lingel,
Gemeinschaftliches Amt Themar,,,,,D. Friedrich Wilhelm Ziehn,neu,Stadt-Physicus,,,Amts-Physicus,,,,,,Dr.,,Friedrich,Wilhelm,,,,D. Ziehn,
Gemeinschaftliches Amt Themar,,,,,Johann Baader,neu,Stadt-Chirurgus,,,Land-Chirurgus,,,,,,,,Johann,,,,,Baader,
Amts Advocaten,,,,,August Matthes Trier,neu,,,,,,,,,,,,August,Matthes,,,,Trier,
Amts Advocaten,,,,,Christian Sternberger,neu,,,,,,,,,,,,Christian,,,,,Sternberger,
Amts-Vogtey,,,,,Johann Christoph Daniel Sternberger,neu,Amts-Steuer-Commissarius,,,,,,,,,,,Johann,Christoph,Daniel,,,Sternberger,
Amts-Steuer und Tranksteuer-Einame,,,,,J. C. D. Sternberger,neu,,,,,,,,,,,,J.,C. ,D.,,,Sternberger,
Zoll und Geleits Einnahme,,,,,N.N. Sternberger,neu,Amts-Commissar,,,Zoll-Einnehmer,,,,,,,,N.N.,,,,,Sternberger,
Zoll und Geleits Einnahme,,,,,Friedrich Wiener,neu,Zoll-Einnehmer zu Erdorf,,,,,,,,,,,Friedrich,,,,,Wiener,
Zoll und Geleits Einnahme,,,,,Sittig Krieg,neu,Zoll-Einnehmer zu Reurieth,,,,,,,,,,,Sittig,,,,,Krieg,
Zoll und Geleits Einnahme,,,,,Johann Friedrich Schade,neu,Zoll-Einnehmer zu Siegritz,,,,,,,,,,,Johann,Friedrich,,,,Schade,
Zoll und Geleits Einnahme,,,,,Johann Caspar Gerbich,neu,Zoll-Einnehmer zu Trohstadt,,,,,,,,,,,Johann,Caspar,,,,Gerbich,
Zoll und Geleits Einnahme,,,,,Johann Michael Zitzmann,neu,Zoll-Läufer,,,Visitator,,,,,,,,Johann,Michael,,,,Zitzmann,
Amt Tonna,,,,,Friedrich Carl Adam von Schwarzenfels,neu,Ober-Amts-Hauptmann,,,,,,,,,,,Friedrich,Carl,Adam,,,von Schwarzenfels,
Amt Tonna,,,,,Ernst Ludwig von Schlotheim,neu,Amts-Hauptmann,,,,,,,,,,,Ernst,Ludwig,,,,von Schlotheim,
Amt Tonna,,,Q98158,,Johann Christoph Kayser,neu,Amts-Commissar,,,,,,,,,,,Johann,Christoph,,,,Kayser,
Amt Tonna,,,,,Heinrich Wilhelm Jacobs,neu,Amts-Actuarius,,,,,,,,,,,Heinrich,Wilhelm,,,,Jacobs,
Amt Tonna,,,,,Johann Caspar Füldner,neu,Amtsschreiber,,,,,,,,,,,Johann,Caspar,,,,Füldner,
Amt Tonna,,,,,Johann Christoph Schrumpf,neu,Amtsbothe,,,,,,,,,,,Johann,Christoph,,,,Schrumpf,
Amt Tonna,,,,,Johann Michael Holbach,neu,Amtsdiener,,,,,,,,,,,Johann,Michael,,,,Holbach,
Amt Tonna,,,Q101873,,D. Friedrich Heinrich Jacobs,neu,Amts-Physicus,,,,,,,,,Dr.,,Friedrich,Heinrich,,,,Jacobs,
Amt Tonna,,,,,Johann Christian Lattermann,neu,Amts-Chirurgus,,,,,,,,,,,Johann,Christian,,,,Lattermann,
Amts-Voigtey,,,,,Johann Christoph Zinkeisen,neu,Amts-Voigt,,,,,,,,,,,Johann,Christoph,,,,Zinkeisen,
Amts und Tranksteuer Einnahme,,,Q506996,,Friedrich Carl Adam von Schwarzenfels,neu,Ober-Amts-Hauptmann,,,Amts-Steuer-Einnehmer,,,,,,,,Friedrich,Carl,Adam,,,von Schwarzenfels,
Amts und Tranksteuer Einnahme,,,,,Georg Gottfried Bellermann,neu,Zoll-Einnehmer zu Tötelsteädt,,,,,,,,,,,Georg,Gottfried,,,,Bellermann,
Amt Volckenroda,,,,,Friedrich Christian Wilhelm Wachler,neu,Amtmann,,,,,,,,,,,Friedrich,Christian,Wilhelm,,,Wachler,
Amt Volckenroda,,,Q160551,,Friedrich Wilhelm Christoph Bonde,neu,Amts-Commissar,,,Pflegschreiber,,,,,,,,Friedrich,Wilhelm,Christoph,,,Bonde,
Amt Volckenroda,,,,,Hans Georg Wolf,neu,Amtsbothe,,,,,,,,,,,Hans,Georg,,,,Wolf,
Amt Volckenroda,,,,,Georg Ernst Wolf,neu,Substitus,,,,,,,,,,,Georg,Ernst,,,,Wolf,
Amt Volckenroda,,,,,Johann Martin Franz,neu,Amtsdiener,,,,,,,,,,,Johann,Martin,,,,Franz,
Amt Volckenroda,,,Q101873,,"D, Friedrich Heinrich Jacobs",neu,zu Tonna,,,Amts-Physicus,,,,,,Dr.,,Friedrich,Heinrich,,,,Jacobs,
Amt Volckenroda,,,,,Johann Gottfried Franke,neu,Amts-Chirurgus,,,,,,,,,,,Johann,Gottfried,,,,Franke,
Amts Vogtey,,,Q192819,,Christian Heinrich Straube,neu,Amtsvoigt,,,,,,,,,,,Christian,Heinrich,,,,Straube,
Amts-Steuer und Tranksteuer-Einame,,,,,Friedrich Wilhelm Christian Wachler,neu,Amtmann,,,Amts-Steuer-Einnehmer,,,,,,,,Friedrich,Wilhelm,Christian,,,Wachler,
Zoll Einnahme,,,,,Johann Carl Krug,neu,Zolleinnehmer zu Volkenroda,,,,,,,,,,,Johann,Carl,,,,Krug,
Zoll Einnahme,,,,,Johann Nicolaus Habicht,neu,Zolleinnehmer zu Körner,,,,,,,,,,,Johann,Nicolaus,,,,Habicht,
Zoll Einnahme,,,,,Johann Sebastian Linse,neu,Zolleinnehmer zu Menteroda,,,,,,,,,,,Johann,Sebastian,,,,Linse,
Zoll Einnahme,,,,,Johann Gabriel Döll,neu,Zolleinnehmer zu Ober-Mehlern,,,,,,,,,,,Johann,Gabriel,,,,Döll,
Zoll Einnahme,,,,,Johann Christoph Koch,neu,Zolleinnehmer zu Peissel,,,,,,,,,,,Johann,Christoph,,,,Koch,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q41765,,Friedrich Wilhelm Straßburger,neu,Kirchenrath,,,Pfarrer,Adjunctus,,,Goldbach,,,,Friedrich,Wilhelm,,,,Straßburger,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Christoph Wilhelm Endert,neu,Cantor,,,,,,,Goldbach,,,,Christoph,Wilhelm,,,,Endert,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Georg Friedrich Reiß,neu,Organist,,,,,,,Goldbach,,,,Georg,Friedrich,,,,Reiß,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q41798,,Georg Christoph Rose,neu,Pfarrer,,,,,,,Ballstädt,,,,Georg,Christoph,,,,Rose,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Martin Agte,neu,Cantor,,,,,,,Ballstädt,,,,Johann,Martin,Martin,,,Agte,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Christoph Hild,neu,Organist,,,,,,,Ballstädt,,,,Johann,Christoph,,,,Hild,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q41826,,Georg Heinrich Pfitzner,neu,Pfarrer,,,,,,,Brüheim,,,,Georg,Heinrich,,,,Pfitzner,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Andreas Ludwig,neu,Schuldiener,,,,,,,Brüheim,,,,Johann,Andreas,,,,Ludwig,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q38632,,Ernst Christian Rudolph Buddeus,neu,Pfarrer,,,,,,,Buffleben,,,,Ernst,Christian,Rudolph,,,Buddeus,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Christan Haun,neu,Schuldiener,,,,,,,Buffleben,,,,Johann,Christian,,,,Haun,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q41697,,M. Friedrich Albrecht Augusti,neu,Pfarrer,,,,,,,Eschenberga,,Magister,,Friedrich,Albrecht,,,,Augusti,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Ernst Friedrich Anton Augusti,neu,Substitut,,,,,,,Eschenberga,,,,Ernst,Friedrich,Anton,,,Augusti,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Hironnymus Adolff,neu,Schuldiener,,,,,,,Eschenberga,,,,Johann,Hironnymus,Adolff,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q42436,,Johann Gottfried Brückmann,neu,Pfarrer,,,,,,,Hausen,,,,Johann,Gottfried,,,,Brückmann,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Christian Stedefeld,neu,Schuldiener,,,,,,,Hausen,,,,Johann,Christian,,,,Stedefeld,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q41948),,Heinrich Gottfried Berlet,neu,Pfarrer,,,,,,,Remstädt,,,,Heinrich,Johann,Gottfried,,,Berlet,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Christoph Gellert,neu,Schuldiener,,,,,,,Remstädt,,,,Johann,Christoph,,,,Gellert,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q192825,,Hiob Benedict Eckardt,neu,Pfarrer,,,,,,,Siebleben,,,,Hiob,Benedict,,,,Eckardt,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Emanuel Gräf,neu,Schuldiener,,,,,,,Siebleben,,,,Johann,Emanuel,,,,Gräf,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q42249,,Johann Christian Weißenborn,neu,Pfarrer,,,,,,,Sonneborn,,,,Johann,Christian,,,,Weißenborn,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q192689,,Johann Adolph Scheiding,neu,Rector,,,,,,,Sonneborn,,,,Johann,Adolph,,,,Scheiding,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Abel Thämer,neu,Cantor,,,,,,,Sonneborn,,,,Abel,,,,,Thämer,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Michael Starkloff,neu,Organist,,,,,,,Sonneborn,,,,Johann,Michael ,,,,Starkloff,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Jacob Köhler,neu,Schuldiener zu Eberstädt,,,,,,,Sonneborn,,,,Johann,Jacob,,,,Köhler,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q42573,,Johann Martin Kästner,neu,Pfarrer,,,,,,,Tüttleben,,,,Johann,Martin,,,,Kästner,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Heinhich Träscher,neu,Schuldiener,,,,,,,Tüttleben,,,,Heinhich,,,,,Träscher,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Jeremias Andreas Buflöb,neu,Pfarrer,,,,,,,Wiegleben,,,,Jeremias,Andreas,,,,Buflöb,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Heinrich Christoph Geisel,neu,Schuldiener,,,,,,,Wiegleben,,,,Johann,Heinrich,Christoph,,,Geisel,
Adjunctur Molschleben,,,Q42628,,Johann Paul Heinrich,neu,Pfarrer,,,Adjunc,,,,Molschleben,,,,Johann,Paul,,,,Paul Heinrich,
Adjunctur Molschleben,,,Q193000,,Johann Christian Kautz,neu,Cantor,,,,,,,Molschleben,,,,Johann,Christian,,,,Kautz,
Adjunctur Molschleben,,,,,Heinrich Ernst Roth,neu,Organist,,,,,,,Molschleben,,,,Heinrich,Ernst,,,,Roth,
Adjunctur Molschleben,,,Q42577,,Mathäus Mehlis,neu,Pfarrer,,,,,,,Friemar,,,,Mathäus,Johann,,,,Mehlis,
Adjunctur Molschleben,,,,,Juohann Georg Hentze,neu,Cantor,,,,,,,Friemar,,,,Georg,,,,,Hentze,
Adjunctur Molschleben,,,,,Andreas Ritter,neu,Organist,,,,,,,Friemar,,,,Andreas,,,,,Ritter,
Adjunctur Molschleben,,,Q42929,,Ludwig Friedrich Sauerbrey,neu,Pfarrer,,,Erfurtis Filial Klein Rettbach,,,,Gamstädt,,,,Ludwig,Friedrich,,,,Sauerbrey,
Adjunctur Molschleben,,,,,Johann Mathäus Bing,neu,Schuldiener,,,,,,,Gamstädt,,,,Johann,Mathäus,,,,Bing,
Adjunctur Molschleben,,,Q42504,,Johann Heinrich Wilhelm Werner,neu,Pfarrer,,,,,,,Gierstedt,,,,Johann,Heinrich,Wilhelm,,,Werner,
Adjunctur Molschleben,,,,,Johann Valentin Liem,neu,Schuldiener,,,,,,,Gierstedt,,,,Johann,Valentin,,,,Liem,
Adjunctur Molschleben,,,Q42299,,Johann Daniel Mittelhäüser,neu,Pfarrer,,,,,,,Großfahner,,,,Johann,Daniel,,,,Mittelhäüser,
Adjunctur Molschleben,,,Q257291,,Johann Friedrich Arnold,neu,Cantor,,,,,,,Großfahner,,,,Johann,Friedrich,,,,Arnold,
Adjunctur Molschleben,,,,,Lorentz Trescher,neu,Organist,,,,,,,Großfahner,,,,Lorentz,,,,,Trescher,
Adjunctur Molschleben,,,Q42441,,Johann Gottfried Müller,neu,Pfarrer,,,,,,,Großrettbach,,,,Johann,Gottfried,,,,Müller,
Adjunctur Molschleben,,,,,Heinrich Jastin Engelhardt,neu,Schuldiener,,,,,,,Großrettbach,,,,Heinrich,Jastin,,,,Engelhardt,
Adjunctur Molschleben,,,Q42981,,Michael Ernst Baumann,neu,Pfarrer,,,,,,,Herbsleben,,,,Michael,Ernst,,,,Baumann,
Adjunctur Molschleben,,,,,Johann Emanuel Pfaff,neu,Diacon,,,,,,,Herbsleben,,,,Johann,Samuel,,,,Pfaff,
Adjunctur Molschleben,,,Q156065,,Friedrich Gottlieb Starkloff,neu,Rector,,,,,,,Herbsleben,,,,Friedrich,Gottlieb,,,,Starkloff,
Adjunctur Molschleben,,,,,Johann Cornelius Eisenträger,neu,Cantor,,,,,,,Herbsleben,,,,Johann ,Cornelius,,,,Eisenträger,
Adjunctur Molschleben,,,Q192976,,Johann Bindernagel,neu,Organist,,,,,,,Herbsleben,,,,Johann ,,,,,Bindernagel,
Adjunctur Molschleben,,,Q42709,,Johann Volkmar Sickler,neu,Pfarrer,,,,,,,Kleinfahner,,,,Johann ,Volkmar,,,,Sickler,
Adjunctur Molschleben,,,,,Johann Gottfried Helbing,neu,Schuldiener,,,,,,,Kleinfahner,,,,Johann ,Gottfried,,,,Helbing,
Adjunctur Molschleben,,,Q42094,,Johann Adolph Freytag,neu,Pfarrer,,,,,,,Warza,,,,Johann ,Adolph,,,,Freytag,
Adjunctur Molschleben,,,,,Johann Tobias Hildebrand,neu,Cantor,,,,,,,Warza,,,,Johann ,Tobias,,,,Hildebrand,
Adjunctur Molschleben,,,Q77698,,August Christian Fritsch,neu,Pfarrer,,,,,,,Dachwich,,,,August,Christian,,,,Fritsch,
Adjunctur Molschleben,,,,,Gottfried Heinrich Thielemann,neu,Pfarrer,,,,,,,Frienstädt,,,,Gottfried,Heinrich,,,,Thielemann,
Adjunctur Molschleben,,,Q161392,,Johann Christian Müntzer,neu,Pfarrer,,,,,,,Nottleben,,,,Johann ,Christian,,,,Müntzer,
Adjunctur Molschleben,,,Q42692,,Johann Tobias Baumeister,neu,Pfarrer,,,Adjunctus,,,,Körner,,,,Johann ,Tobias,,,,Baumeister,
Adjunctur Molschleben,,,,,Johann Friedrich Wagner,neu,Cantor,,,,,,,Körner,,,,Johann ,Friedrich,,,,Wagner,
Adjunctur Molschleben,,,,,Johann Christoph Lux,neu,Organist,,,,,,,Körner,,,,Johann ,Christoph,,,,Lux,
Adjunctur Molschleben,,,Q41727,,Friedrich Hendrich,neu,Pfarrer,,,und Filiale Klein Keula,,,,Menteroda,,,,Friedrich,,,,,Hendrich,
Adjunctur Molschleben,,,,,Johann Christoph Kieser,neu,Schuldiener,,,,,,,Menteroda,,,,Johann ,Christoph,,,,Kieser,
Adjunctur Molschleben,,,Q192840,,Johann Adam Kirchner,neu,Schuldiener,,,zu Klein Keula,,,,Menteroda,,,,Johann ,Adam,,,,Kirchner,
Adjunctur Molschleben,,,Q41887,,Gottfried Rudolph Erdmann,neu,Pfarrer,,,,,,,Ober-Mehler,,,,Gottfried,Rudolph,,,,Erdmann,
Adjunctur Molschleben,,,Q192677,,Johann Heinrich Konther,neu,Schuldiener,,,,,,,Ober-Mehler,,,,Johann ,Heinrich,,,,Konther,
Adjunctur Molschleben,,,Q42218,,Johann Christian Jacobi,neu,Pfarrer,,,und Filiale Hohenberga,,,,Volkenroda,,,,Johann ,Christian,,,,Jacobi,
Adjunctur Molschleben,,,Q42726,,Johann Wilhelm Christian Baumeister,neu,Substitut,,,,,,,Volkenroda,,,,Johann ,Wilhelm,Christian,,,Baumeister,
Adjunctur Molschleben,,,,,Johann Nicolaus Busch,neu,Schuldiener,,,zu Hohenberga,,,,Volkenroda,,,,Johann ,Nicolaus,,,,Busch,
Superintendentur Waltershausen,,,,,M. Just Christian Stuß,neu,Superintendent,,,,,,,Waltershausen,,Magister,,Just,Christian ,,,,Stuß,
Superintendentur Waltershausen,,,,,Johann Baltasar Hofmann,neu,Diaconus,,,,,,,Waltershausen,,,,Johann,Baltasar,,,,Hofmann,
Superintendentur Waltershausen,,,Q157826,,Johann Hiob Erdmann,neu,Rector,,,,,,,Waltershausen,,,,Johann,Hiob,,,,Erdmann,
Superintendentur Waltershausen,,,Q193009,,Johann Caspar Schilling,neu,Conrector,,,,,,,Waltershausen,,,,Johann,Caspar,,,,Johann Schilling,
Superintendentur Waltershausen,,,,,Christoph Büchner,neu,Cantor,,,,,,,Waltershausen,,,,Christoph,,,,,Büchner,
Superintendentur Waltershausen,,,,,Johann Andreas Böhm,neu,Organist,,,,,,,Waltershausen,,,,Johann,Andreas,,,,Böhm,
Superintendentur Waltershausen,,,,,Johann Valentin Thilo Kirchner,neu,Mägdlein-Schuldiener,,,,,,,Waltershausen,,,,Johann,Valentin,Thilo,,,Kirchner,
Superintendentur Waltershausen,,,Q42139,,Johann August Ritter,neu,Pfarrer,,,,,,,Aspach,,,,August,,,,,Ritter,
