unmittelbare Anstellung,Q506999,,Q-1770 Person,1771,1772,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,,Ort,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
Herzogliches Kammer-Collegium zu Gotha,Q506906,,,Wolf JohannLudwig Friedemann Graf von Auersberg,,andere Quali,Legations-Rath,Kammer-Junker,,,,,,,,,,,,
Herzogliches Kammer-Collegium zu Gotha,Q506906,,,Johann Wilhelm Zinkeisen,Johann Wilhelm Zinkeisen,unverändert,Cammer-Rath,,,,,,,,,,,,,
,Q506906,,,,Carl Levin Otto von Lenthe,neu,Cammerjunker,,,,,,,,,,,,,
Herzogliches Kammer-Collegium zu Gotha,Q510695,,,,,weg,,,,,,,,,,,,,,
Herzogliches Kammer-Collegium zu Gotha,Q510696,,Q507019,,,weg,,,,,,,,,,,,,,
Cammer Consulent,Q510697,,Q97818,Christian Ludwig Saul,Christian Ludwig Saul,unverändert,Rath,Cammer-Consulent,Regierungs-Fiscal,,,,,,,,,,,
Rentherey        Expeditions-Department,Q510697,,Q507070,Georg Friedrich Hofmann,Georg Friedrich Hofmann,unverändert,Rath,geheimer Reuth-Secretarius,,,,,,,,,,,,
Rentherey        Expeditions-Department,Q510697,,Q507071,Heinrich Friedrich Michaelis,Heinrich Friedrich Michaelis,andere Quali,Cammer-Secretarius,Berg Secretaius,,,,,,,,,,,,
Rentherey        Expeditions-Department,Q510697,,,,,,,,,,,,,,,,,,,
Rentherey        Expeditions-Department,Q510697,,Q507073,Christan Friedrich Schmidt,Christan Friedrich Schmidt,unverändert,Renth-Meister,Post-Commissarius,,,,,,,,,,,,
Rentherey        Expeditions-Department,Q510697,,Q507074,August Friedrich Waitz,August Friedrich Waitz,unverändert,Cammer-Secretarius,,,,,,,,,,,,,
Cammer Archiv,Q506910,,Q160600,Friedrich Carl Brückner,Friedrich Carl Brückner,unverändert,Archiv-Secretarius,,,,,,,,,,,,,
Cammer Archiv,Q506910,,Q507075,Johann August Rudolph Heidenreich,Johann August Rudolph Heidenreich,unverändert,Wirklicher-Secretarius,,,,,,,,,,,,,
Cammer Archiv,Q506911,,Q507076,Christian Gottfried Wunderlich,Christian Gottfried Wunderlich,unverändert,Cammer-Registsrat,,,,,,,,,,,,,
Canzellisten-Cabinet,Q506911,,Q192441,Peter Michael Wolffram,Peter Michael Wolffram,unverändert,Cammer-Agent,,,,,,,,,,,,,
Canzellisten-Cabinet,Q506911,,Q507077,Johann Christoph Trompheller,Johann Christoph Trompheller,unverändert,Cammer-Bothenmeister,,,,,,,,,,,,,
Canzellisten-Cabinet,Q506911,,Q507078,Christian Pöhler,Christian Pöhler,unverändert,Registrator,,,,,,,,,,,,,
Canzellisten-Cabinet,Q506911,,Q507079,Johann Christoph Voigt,Johann Christoph Voigt,unverändert,Actuarius,,,,,,,,,,,,,
Canzellisten-Cabinet,Q506911,,Q507080,Anton Franz Kaupert,Anton Franz Kaupert,andere Qualli,Actuarius,,,,,,,,,,,,,
Canzellisten-Cabinet,Q506911,,Q507081,Georg Benjamin Zachariä,Georg Benjamin Zachariä,unverändert,Canzlist,,,,,,,,,,,,,
Canzellisten-Cabinet,Q506911,,Q507082,Christian Wilhelm Schmidt,Christian Wilhelm Schmidt,unverändert,Canzlist,,,,,,,,,,,,,
Canzellisten-Cabinet,Q506911,,Q192822,,,weg,Accessist,,,,,,,,,,,,,
Canzellisten-Cabinet,Q506911,,Q507083,Johann Anton Möller,Johann Anton Möller,unverändert,Accessist,,,,,,,,,,,,,
Canzellisten-Cabinet,Q506911,,Q507084,Johann August Kayser,Johann August Kayser,unverändert,Accessist,,,,,,,,,,,,,
Canzellisten-Cabinet,Q506912,,Q507085,Johann Georg Wolffram,Johann Georg Wolffram,unverändert,Accessist,,,,,,,,,,,,,
Rechnungs-Departement,Q510698,,Q507086,Georg Bernhard Harnisch,Georg Bernhard Harnisch,unverändert,Cammer-Verwalter als Kassierer,,,,,,,,,,,,,
Rechnungs-Departement,Q510698,,Q507088,Cristian Friedrich Schmidt,Cristian Friedrich Schmidt,unverändert,Renth-Meister,Post-Commissarius,,,,,,,,,,,,
Rechnungs-Departement,Q510698,,Q98102,Johann August Möller,,weg,Steuer-Secretarius,Cammer-Commissarius,,,,,,,,,,,,
Rechnungs-Departement,Q510698,,Q507089,Ernst Wilhelm Martini,,weg,Land-Renth-Commissarius,,,,,,,,,,,,,
Rechnungs-Departement,Q510698,,Q507090,Georg Adam Bernhard Lotz,Georg Adam Bernhard Lotz,unverändert,Forst-Secretarius,,,,,,,,,,,,,
Rechnungs-Departement,Q510698,,Q507091,Johann Andreas Ludwig Harnisch,Johann Andreas Ludwig Harnisch,unverändert,Accessist,,,,,,,,,,,,,
